time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,roll,pitch,yaw,roll_dot,pitch_dot,yaw_dot,roll_ddot,pitch_ddot,yaw_ddot,quat_w,quat_x,quat_y,quat_z,quat_dot_w,quat_dot_x,quat_dot_y,quat_dot_z
0.6,0.00122592444119578,0,-0.0148846780806124,0.00821774967548073,0,-0.0906377825366618,0.041315056626524,0,-0.38538959295149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.61,0.00131019074449839,0,-0.0158104702160803,0.00863782543095056,0,-0.0945351133684056,0.0427037222726013,0,-0.394070813299023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.62,0.00139872760094007,0,-0.0167756691283293,0.00907189648546579,0,-0.0985190769878385,0.044114097165889,0,-0.40271549201605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.63,0.00149167604703259,0,-0.0177811392526582,0.0095201793477825,0,-0.102589288364682,0.0455460640014152,0,-0.411319720309935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.64,0.00158917927845395,0,-0.0188277409800209,0.00998288933678848,0,-0.106745323799773,0.0469995021139394,0,-0.419879673094358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.65,0.00169138263798203,0,-0.0199163302745129,0.0104602405480041,0,-0.110986721759068,0.048474287498665,0,-0.428391608377693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.66,0.00179843360309424,0,-0.0210477582991667,0.0109524458202901,0,-0.115312983701531,0.0499702928319512,0,-0.436851866651378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.67,0.00191048177323541,0,-0.0222228710499964,0.0114597167027632,0,-0.11972357490091,0.0514873874920254,0,-0.445256870278293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.68,0.0020276788567557,0,-0.0234425089982285,0.0119822634219178,0,-0.124217925261389,0.053025437579695,0,-0.45360312288113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.69,0.00215017865752091,0,-0.024707506740659,0.0125202948489556,0,-0.128795430127129,0.0545843059390601,0,-0.46188720873077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.00227813706119703,0,-0.0260186926580759,0.0130740184673222,0,-0.133455451085694,0.056163852178225,0,-0.470105792134656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.71,0.00241171202121124,0,-0.027376888581684,0.0136436403404505,0,-0.138197316765354,0.0577639326900109,0,-0.478255616825165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.72,0.00255106354439136,0,-0.0287829094674741,0.0142293650797113,0,-0.143020323626282,0.0593844006726675,0,-0.486333505347988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.73,0.00269635367628586,0,-0.0302375630784714,0.0148313958125717,0,-0.147923736745625,0.0610251061505859,0,-0.494336358450494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.74,0.00284774648616644,0,-0.0317416496748061,0.0154499341509595,0,-0.152906790596463,0.0626858959950098,0,-0.502261154470114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0.00300540805171536,0,-0.0332959617115412,0.0160851801598354,0,-0.157968689820652,0.0643666139447487,0,-0.510104948722708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.76,0.00316950644339949,0,-0.0349012835441996,0.0167373323259726,0,-0.163108609995552,0.066067100626889,0,-0.517864872890942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
